event_id	event_type	avecost	Lscore	CNval	true	length	prevals	orders	numhists
0.11	adj	1.0	0.999950027485	1.0	1	1300000	1.0,1.0,0.0	11.0,4.54377811094,3.01085949212	20010
0.8	adj	1.0	0.999950027485	1.0	1	4699999	1.0,1.0,0.0	8.0,4.89220389805,2.77207178828	20010
0.3	amp	0.869215392304	0.999950027485	3.0	1	300000	1.0,1.0,0.0	3.0,4.03083458271,1.85856708712	20010
0.2	adj	1.0	0	1.0	-3	1400000	1.0,1.0,0.0	2.0,2.0,0.0	1
10000.3	adj	-1	0.999950027485	1.0	3	2199999	-1,1.0,0.0	-1,5.86311844078,2.35538322899	20010
0.7	adj	1.0	0	1.0	-3	1400000	1.0,1.0,0.0	7.0,7.0,0.0	1
0.10	adj	1.0	0.999950027485	1.0	1	5099999	1.0,1.0,0.0	10.0,5.47626186907,2.22887354526	20010
0.5	adj	1.0	0.999950027485	1.0	1	3399999	1.0,1.0,0.0	5.0,4.40699650175,2.69387129485	20010
0.4	adj	1.0	0.999950027485	1.0	1	2300000	1.0,1.0,0.0	4.0,5.24692653673,2.58928457335	20010
0.9	del	1.0	0.999950027485	1.0	1	100000	1.0,1.0,0.0	9.0,5.81539230385,2.46517026315	20010
0.6	adj	1.0	0.999950027485	1.0	1	500000	1.0,1.0,0.0	6.0,4.72448775612,2.44084538365	20010
0.9	adj	1.0	0.999950027485	1.0	1	4000000	1.0,1.0,0.0	9.0,2.5,1.20415945788	20010
0.10	adj	1.0	0	1.0	-3	7499999	1.0,1.0,0.0	10.0,10.0,0.0	1
10000.3	adj	-1	0.999950027485	1.0	3	7499999	-1,1.0,0.0	-1,2.6,0.916515138991	20010
0.6	adj	1.0	0	1.0	-1	3000000	1.0,1.0,0.0	6.0,6.0,0.0	1
10000.2	amp	-1	0.999950027485	1.0	0	200000	-1,1.0,0.0	-1,2.1,1.04403065089	20010
0.7	adj	1.0	0	1.0	-3	6199999	1.0,1.0,0.0	7.0,7.0,0.0	1
0.2	amp	1.0	0	1.0	-1	1000000	1.0,1.0,0.0	2.0,2.0,0.0	1
0.11	adj	1.0	0	1.0	-1	5199999	1.0,1.0,0.0	11.0,11.0,0.0	1
0.5	del	1.0	0	1.0	-1	700000	1.0,1.0,0.0	5.0,5.0,0.0	1
0.8	adj	1.0	0	1.0	-1	6499999	1.0,1.0,0.0	8.0,8.0,0.0	1
10000.4	oth	-1	0.999950027485	1.0	0	6499999	-1,1.0,0.0	-1,2.8,1.16619037897	20010
0.4	amp	1.0	0	1.0	-1	800000	1.0,1.0,0.0	4.0,4.0,0.0	1
0.4	adj	1.0	0.999950027485	1.0	1	2999999	1.0,1.0,0.0	4.0,3.24067966017,1.62010245721	20010
0.2	adj	1.0	0.999950027485	1.0	1	3200000	1.0,1.0,0.0	2.0,3.05322338831,1.58201279146	20010
10000.1	adj	-1	0.999950027485	1.0	3	4000000	-1,1.0,0.0	-1,3.64792603698,1.96025779968	20010
0.5	adj	1.0	0	1.0	-3	5799999	1.0,1.0,0.0	5.0,5.0,0.0	1
0.9	adj	1.0	0	1.0	-1	5099999	1.0,1.0,0.0	9.0,9.0,0.0	1
10000.2	amp	-1	0.999950027485	1.0	0	5099999	-1,1.0,0.0	-1,3.24407796102,1.61412312578	20010
0.10	adj	1.0	0.999950027485	1.0	1	400000	1.0,1.0,0.0	10.0,3.99545227386,1.65905186215	20010
0.11	del	1.0	0.999950027485	1.0	1	100000	1.0,1.0,0.0	11.0,3.81864067966,1.5718800679	20010
0.8	adj	1.0	0	1.0	-3	2799999	1.0,1.0,0.0	8.0,8.0,0.0	1
0.3	amp	1.0	0	1.0	-1	600000	1.0,1.0,0.0	3.0,3.0,0.0	1
0.7	adj	1.0	0	1.0	-1	1400000	1.0,1.0,0.0	7.0,7.0,0.0	1
0.6	adj	1.0	0	1.0	-3	4000000	1.0,1.0,0.0	6.0,6.0,0.0	1
0.11	adj	1.0	0.999950027485	1.0	1	1900000	1.0,1.0,0.0	11.0,2.6,1.11355287257	20010
0.9	adj	1.0	0.999950027485	1.0	1	4399999	1.0,1.0,0.0	9.0,1.8,0.871779788708	20010
0.7	adj	1.0	0.999950027485	1.0	1	4999999	1.0,1.0,0.0	7.0,2.5,1.11803398875	20010
0.5	adj	1.0	0	1.0	-3	4100000	1.0,1.0,0.0	5.0,5.0,0.0	1
10000.4	adj	-1	0.999950027485	1.0	3	4199999	-1,1.0,0.0	-1,3.1,0.943398113206	20010
0.8	adj	1.0	0	1.0	-3	4100000	1.0,1.0,0.0	8.0,8.0,0.0	1
0.10	adj	1.0	0	1.0	-3	3800000	1.0,1.0,0.0	10.0,10.0,0.0	1
0.2	adj	1.0	0	1.0	-3	6600000	1.0,1.0,0.0	2.0,2.0,0.0	1
10000.3	oth	-1	0.999950027485	1.0	0	600000	-1,1.0,0.0	-1,3.0,1.0	20010
0.4	amp	1.0	0	1.0	-1	800000	1.0,1.0,0.0	4.0,4.0,0.0	1
0.9	adj	1.0	0	1.0	-1	2900000	1.0,1.0,0.0	9.0,9.0,0.0	1
0.5	adj	1.0	0	1.0	-3	4900000	1.0,1.0,0.0	5.0,5.0,0.0	1
0.6	adj	1.0	0	1.0	-3	4900000	1.0,1.0,0.0	6.0,6.0,0.0	1
0.10	adj	1.0	0.999950027485	1.0	1	3500000	1.0,1.0,0.0	10.0,2.6,1.28062484749	20010
10000.1	oth	-1	0.999950027485	1.0	3	800000	-1,1.0,0.0	-1,2.4,0.916515138991	20010
0.7	oth	1.0	0	1.0	-3	800000	1.0,1.0,0.0	7.0,7.0,0.0	1
0.3	adj	1.0	0.999950027485	1.0	1	1400000	1.0,1.0,0.0	3.0,2.0,1.0	20010
0.8	adj	1.0	0	1.0	-3	5599999	1.0,1.0,0.0	8.0,8.0,0.0	1
