#simids	blocks	totalnodes	truenodes	prednodes	truescores	avescores	minscores	maxscores	TP	FP	TN	FN
sim100.10.1.0	100	35	35	35	10.0	9.8692153923	9.5	10	9	0	0	0
sim100.10.1.1	100	31	30	30	9.0	10.5	10.5	9	2	2	0	6
sim100.10.1.2	100	34	34	34	10.0	11.0	11.0	10	5	1	0	3
sim100.10.1.3	100	20	20	20	6.0	6.0	6.0	6	4	0	0	0
sim100.10.1.4	100	27	27	27	8.0	9.5	9.5	9	3	1	0	2
sim100.12.1.0	100	45	45	45	12.0	11.7	11.5	12	12	0	0	0
sim100.12.1.1	100	39	39	39	12.0	11.75	11.5	12	9	0	0	0
sim100.12.1.2	100	33	32	33	11.0	18.8312343828	10.5	22	5	1	450	6
sim100.12.1.3	100	38	38	38	11.0	11.0	11.0	11	8	0	0	0
sim100.12.1.4	100	31	30	31	8.0	13.2130684658	9.0	15	5	1	43	3
sim100.15.1.0	100	51	44	49	13.0	20.3270114943	12.5	76	5	2	296	9
sim100.15.1.1	100	42	41	34	11.0	15.024137931	10.5	23	1	0	335	11
sim100.15.1.2	100	50	46	50	15.0	22.1670164918	14.5	27	8	3	1675	10
sim100.15.1.3	100	53	48	45	14.0	12.9634932534	12.5	21	2	0	70	12
sim100.15.1.4	100	45	45	45	14.0	13.9	13.5	14	10	0	0	0
sim100.20.1.0	100	69	64	69	19.0	24.0682658671	20.0	27	6	2	222	11
sim100.20.1.1	100	51	51	51	16.0	20.9736381809	15.5	22	10	0	5	0
sim100.20.1.2	100	47	46	43	16.0	22.1449525237	14.0	26	3	2	1349	6
sim100.20.1.3	100	61	58	57	14.0	22.3306596702	15.0	25	11	2	279	6
sim100.20.1.4	100	65	65	65	19.0	25.0684157921	19.5	25	13	0	12	2
sim100.2.1.0	100	8	8	8	2.0	2.0	2.0	2	2	0	0	0
sim100.2.1.1	100	8	8	8	2.0	2.0	2.0	2	2	0	0	0
sim100.2.1.2	100	8	8	8	2.0	2.0	2.0	2	2	0	0	0
sim100.2.1.3	100	6	6	6	2.0	2.0	2.0	2	2	0	0	0
sim100.2.1.4	100	6	6	6	2.0	2.5	2.5	2	0	1	0	2
sim100.25.1.0	100	74	74	74	23.0	30.7102448776	25.0	30	11	2	41	7
sim100.25.1.1	100	73	72	73	18.0	30.9906296852	23.0	35	7	0	3972	8
sim100.25.1.2	100	59	57	59	17.0	23.9508245877	17.0	28	14	0	224	2
sim100.25.1.3	100	80	80	80	23.0	24.0	24.0	23	12	2	0	10
sim100.25.1.4	100	58	58	56	18.0	17.65	17.5	18	11	1	0	5
sim100.5.1.0	100	18	18	18	5.0	5.5	5.5	5	3	1	0	2
sim100.5.1.1	100	20	20	20	5.0	5.0	5.0	5	5	0	0	0
sim100.5.1.2	100	20	20	20	5.0	5.0	5.0	5	5	0	0	0
sim100.5.1.3	100	8	8	8	2.0	2.0	2.0	2	2	0	0	0
sim100.5.1.4	100	14	14	14	4.0	4.0	4.0	4	3	0	0	0
sim100.7.1.0	100	26	26	26	7.0	11.2782358821	7.5	17	5	1	6	2
sim100.7.1.1	100	20	20	20	5.0	5.0	5.0	5	5	0	0	0
sim100.7.1.2	100	24	24	24	6.0	6.0	6.0	6	6	0	0	0
sim100.7.1.3	100	18	18	18	5.0	5.0	5.0	5	4	0	0	0
sim100.7.1.4	100	28	28	28	7.0	7.0	7.0	7	7	0	0	0
sim150.10.1.0	150	33	33	33	10.0	10.4	10.0	10	7	1	0	2
sim150.10.1.1	150	36	36	36	10.0	10.0	10.0	10	9	0	0	0
sim150.10.1.2	150	26	26	26	8.0	8.0	8.0	8	6	0	0	0
sim150.10.1.3	150	41	36	41	10.0	11.2614192904	10.0	17	9	1	55	1
sim150.10.1.4	150	28	28	28	7.0	8.0	8.0	8	7	0	0	0
sim150.20.1.0	150	55	49	55	16.0	26.2123188406	16.5	31	4	0	6918	12
sim150.20.1.1	150	58	58	58	15.0	15.0	15.0	15	12	0	0	0
sim150.20.1.2	150	65	59	63	18.0	23.1409295352	17.5	34	7	0	160	7
sim150.20.1.3	150	60	60	60	18.0	18.0	18.0	18	12	0	0	0
sim150.20.1.4	150	52	52	52	17.0	22.7597201399	17.5	22	7	1	6	6
sim150.30.1.0	150	90	81	89	28.0	36.8679910045	27.0	56	9	2	6792	16
sim150.30.1.1	150	93	93	89	29.0	34.8416541729	26.0	41	16	1	360	13
sim150.30.1.2	150	90	90	90	25.0	25.0	25.0	25	20	0	0	0
sim150.30.1.3	150	91	87	87	26.0	31.9702398801	23.0	38	11	1	2880	15
sim150.30.1.4	150	74	71	74	25.0	34.7629935032	25.0	36	8	1	3277	14
sim150.3.1.0	150	8	8	8	1.0	2.0	2.0	2	1	0	0	0
sim150.3.1.1	150	10	10	10	3.0	3.0	3.0	3	3	0	0	0
sim150.3.1.2	150	8	8	8	3.0	3.0	3.0	3	3	0	0	0
sim150.3.1.3	150	6	6	6	2.0	2.0	2.0	2	2	0	0	0
sim150.3.1.4	150	6	6	6	2.0	2.34722638681	2.0	7	0	2	9	2
sim150.5.1.0	150	18	18	18	5.0	6.0	6.0	5	2	1	0	3
sim150.5.1.1	150	16	16	16	4.0	4.0	4.0	4	4	0	0	0
sim150.5.1.2	150	17	16	16	5.0	4.0	4.0	4	3	1	0	2
sim150.5.1.3	150	12	12	12	3.0	3.0	3.0	3	3	0	0	0
sim150.5.1.4	150	18	18	18	5.0	9.52793603198	5.5	11	3	1	6	2
sim200.10.1.0	200	28	28	28	7.0	7.0	7.0	7	7	0	0	0
sim200.10.1.1	200	32	32	32	10.0	15.9987006497	9.0	17	10	0	9	0
sim200.10.1.2	200	33	32	32	8.0	9.0	9.0	9	6	1	0	3
sim200.10.1.3	200	28	28	28	8.0	8.0	8.0	8	8	0	0	0
sim200.10.1.4	200	35	35	35	10.0	10.0	10.0	10	8	0	0	0
sim200.20.1.0	200	67	63	67	18.0	24.0199150425	16.5	29	12	1	781	5
sim200.20.1.1	200	68	68	66	19.0	18.0	18.0	18	13	1	0	2
sim200.20.1.2	200	61	61	61	18.0	23.3386556722	17.5	24	14	1	5	2
sim200.20.1.3	200	66	66	66	18.0	18.0	18.0	18	17	0	0	0
sim200.20.1.4	200	81	76	81	20.0	20.5002998501	20.0	81	18	1	184	1
sim200.30.1.0	200	97	97	97	29.0	29.15	29.0	28	17	1	1	3
sim200.30.1.1	200	91	91	91	26.0	32.0008495752	25.5	32	19	0	9	0
sim200.30.1.2	200	87	86	84	25.0	25.8	25.5	26	15	2	0	6
sim200.30.1.3	200	85	82	85	26.0	38.1130934533	24.5	40	8	0	7246	14
sim200.30.1.4	200	102	102	96	26.0	26.0	26.0	26	19	1	0	5
